CVE-2003-0727|allowedAction({local,user},cause,{denial,service}) 
CVE-2008-4351|allowedAction({attacker,remote},include,{file,arbitrary}) 
CVE-2008-4352|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4353|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4354|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4355|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4356|allowedAction({attacker,remote},execute,{uname,parameter}) 
CVE-2008-4357|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4361|
CVE-2008-4362|allowedAction({local,user},cause,{denial,service}) 
CVE-2008-4363|allowedAction({local,user},cause,{denial,service}) allowedAction({local,user},execute,{code,arbitrary}) 
CVE-2008-4364|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) allowedAction({attacker,remote},execute,{parameter,txtsearch}) 
CVE-2008-4366|
CVE-2008-4369|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4370|allowedAction({attacker,remote},inject,{web,arbitrary,script}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2008-4371|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4372|allowedAction({attacker,remote},inject,{web,script,arbitrary}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2008-4373|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4374|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4375|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4376|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4377|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4378|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4379|allowedAction({attacker,remote},inject,{web,script,arbitrary}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2008-4380|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2008-4405|allowedAction({os,user,guest},cause,{denial,service}) allowedAction({os,user,guest},have,{impact,other,unspecified}) 
CVE-2008-4416|allowedAction({local,user},cause,{denial,service}) 
CVE-2008-4421|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2008-4423|
CVE-2008-4425|allowedAction({attacker,remote},delete,{file,arbitrary}) 
CVE-2008-4426|allowedAction({attacker,remote},inject,{web,script,arbitrary}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2008-4427|allowedAction({attacker,remote},change,{password,arbitrary}) 
CVE-2008-4428|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-4436|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4449|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-4451|allowedAction({local,user},execute,{code,arbitrary}) 
CVE-2008-4452|allowedAction({attacker,remote},cause,{denial,service}) allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-4453|allowedAction({attacker,remote},create,{file,arbitrary}) 
CVE-2008-4456|allowedAction({attacker},inject,{web,script,arbitrary}) allowedAction({attacker},inject,{HTML}) 
CVE-2008-4457|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4460|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4461|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4462|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4463|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4464|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4465|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4466|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4467|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4468|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4469|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4470|allowedAction({attacker,user-assisted},cause,{denial,service}) allowedAction({attacker,user-assisted},execute,{code,arbitrary}) 
CVE-2008-4471|allowedAction({attacker,remote},overwrite,{file,arbitrary}) 
CVE-2008-4472|allowedAction({attacker,remote},execute,{program,arbitrary}) 
CVE-2008-4483|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-4486|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-4490|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-4492|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4493|allowedAction({attacker,remote},force,{upload,file,arbitrary}) 
CVE-2008-4494|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4495|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4496|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4497|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4498|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4500|
CVE-2008-4501|
CVE-2008-4502|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2008-4509|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-4510|allowedAction({local,user},cause,{denial,service}) 
CVE-2008-4514|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2008-4516|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4517|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4518|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4519|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-4521|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4522|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-4523|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4524|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4526|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-4527|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4528|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-4529|
CVE-2008-4546|allowedAction({web,remote,server},cause,{denial,service}) 
CVE-2008-4547|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-4548|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-4549|allowedAction({attacker,remote},force,{image,upload,file,arbitrary}) allowedAction({argument,URI},force,{image,upload,file,arbitrary}) 
CVE-2008-4552|allowedAction({attacker,remote},bypass,{access,restriction,intended}) 
CVE-2008-4554|allowedAction({local,user},bypass,{mode,append}) allowedAction({local,user},make,{change,arbitrary}) 
CVE-2008-4556|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-4557|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2008-4558|allowedAction({attacker,remote},overwrite,{arbitrary,memory}) allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-4569|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4570|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4572|allowedAction({attacker,remote},cause,{denial,service}) allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-4573|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4574|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4576|
CVE-2008-4577|allowedAction({attacker},bypass,{access,restriction,intended}) 
CVE-2008-4579|
CVE-2008-4583|allowedAction({attacker,remote},overwrite,{file,arbitrary}) 
CVE-2008-4584|allowedAction({attacker,remote},overwrite,{file,arbitrary}) 
CVE-2008-4586|allowedAction({attacker,remote},force,{download,file,arbitrary}) allowedAction({attacker,remote},force,{execution}) 
CVE-2008-4587|allowedAction({attacker,remote},force,{download,file,arbitrary}) allowedAction({attacker,remote},force,{execution}) 
CVE-2008-4588|allowedAction({attacker,remote},cause,{denial,service}) allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-4590|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4591|allowedAction({attacker,remote},inject,{web,script,arbitrary}) allowedAction({attacker,remote},inject,{HTML}) allowedAction({attacker,remote},inject,{lang}) 
CVE-2008-4592|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-4599|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4600|allowedAction({attacker,remote},bypass,{access,authentication,administrative,gain}) 
CVE-2008-4602|
CVE-2008-4603|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4604|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4605|
CVE-2008-4606|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) allowedAction({attacker,remote},execute,{parameter,vlan_id}) 
CVE-2008-4609|
CVE-2008-4612|allowedAction({attacker,remote},inject,{web,script,arbitrary}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2008-4613|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4614|allowedAction({attacker,remote},create,{forum}) 
CVE-2008-4617|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4619|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2008-4620|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4621|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4622|allowedAction({attacker,remote},bypass,{access,authentication,administrative,gain}) 
CVE-2008-4623|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4624|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2008-4625|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4626|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-4627|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4628|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4632|
CVE-2008-4642|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4643|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4644|allowedAction({attacker,remote},bypass,{IP,restriction,address}) 
CVE-2008-4645|
CVE-2008-4650|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4652|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-4653|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4654|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-4662|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-4665|
CVE-2008-4666|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4667|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-4668|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-4673|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2008-4674|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4675|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4680|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2008-4681|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2008-4682|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2008-4683|
CVE-2008-4684|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2008-4685|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2008-4686|
CVE-2008-4687|
CVE-2008-4690|allowedAction({attacker,remote},execute,{command,arbitrary}) 
CVE-2008-4696|
CVE-2008-4699|allowedAction({attacker,remote},execute,{program,arbitrary}) 
CVE-2008-4700|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4702|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-4703|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4704|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2008-4705|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4706|
CVE-2008-4707|
CVE-2008-4708|allowedAction({attacker,remote},bypass,{access,authentication,administrative,gain}) 
CVE-2008-4709|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4711|
CVE-2008-4712|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-4713|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4714|allowedAction({attacker,remote},bypass,{access,authentication,administrative,gain}) 
CVE-2008-4715|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4716|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4717|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4718|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-4719|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2008-4720|
CVE-2008-4721|allowedAction({attacker,remote},bypass,{access,authentication,administrative,gain}) 
CVE-2008-4725|allowedAction({attacker,remote},inject,{web,arbitrary,script}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2008-4726|allowedAction({authenticate,remote,user},execute,{code,open,arbitrary}) 
CVE-2008-4728|allowedAction({attacker,remote},execute,{program,arbitrary}) 
CVE-2008-4729|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-4732|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4735|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2008-4736|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4738|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4739|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-4740|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-4748|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2008-4749|allowedAction({attacker,remote},overwrite,{file,arbitrary}) 
CVE-2008-4750|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-4752|allowedAction({attacker,remote},bypass,{access,authentication,administrative,gain}) 
CVE-2008-4753|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4754|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4755|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4756|allowedAction({attacker,remote},inject,{web,arbitrary,script}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2008-4757|
CVE-2008-4758|
CVE-2008-4759|
CVE-2008-4760|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4762|allowedAction({authenticate,remote,user},cause,{denial,service}) 
CVE-2008-4764|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2008-4765|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4770|
CVE-2008-4771|
CVE-2008-4772|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4773|
CVE-2008-4774|allowedAction({attacker,remote},inject,{web,arbitrary,script}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2008-4778|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4779|
CVE-2008-4780|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-4781|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-4782|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4783|allowedAction({attacker,remote},bypass,{access,authentication,administrative,gain}) 
CVE-2008-4784|
CVE-2008-4785|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4786|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4834|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-4835|allowedAction({attacker,remote},execute,{code,related,arbitrary}) 
CVE-2008-4837|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-4841|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-4844|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-4864|allowedAction({attacker,context-dependent},execute,{code,arbitrary}) 
CVE-2008-4870|allowedAction({local,user},obtain,{ssl_key_password,parameter,value}) 
CVE-2008-4873|allowedAction({attacker,remote},execute,{command,arbitrary}) 
CVE-2008-4875|
CVE-2008-4876|allowedAction({attacker,remote},inject,{web,arbitrary,script}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2008-4877|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4878|
CVE-2008-4879|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4880|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4881|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4882|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4883|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4884|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4885|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4886|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4887|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4888|allowedAction({attacker,remote},inject,{web,script,arbitrary}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2008-4889|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4890|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4895|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4897|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4900|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4906|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-4912|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-4913|allowedAction({attacker,remote},delete,{file,arbitrary}) 
CVE-2008-4914|allowedAction({administrator,local},cause,{denial,service}) 
CVE-2008-4915|
CVE-2008-4916|allowedAction({os,user,guest},cause,{denial,service}) 
CVE-2008-4917|allowedAction({os,guest,user},have,{impact,unknown}) 
CVE-2008-4919|allowedAction({attacker,remote},overwrite,{file,arbitrary}) 
CVE-2008-4921|allowedAction({attacker,remote},bypass,{privilege,authentication,gain,administrator}) 
CVE-2008-4922|
CVE-2008-4923|allowedAction({attacker,remote},overwrite,{file,arbitrary}) 
CVE-2008-4924|allowedAction({attacker,remote},overwrite,{file,arbitrary}) 
CVE-2008-4925|allowedAction({attacker,remote},overwrite,{file,arbitrary}) 
CVE-2008-4926|allowedAction({attacker,remote},overwrite,{file,arbitrary}) 
CVE-2008-4933|
CVE-2008-4934|allowedAction({attacker},cause,{denial,service}) 
CVE-2008-4989|allowedAction({attacker,man-in-the-middle},insert,{spoofed,certificate}) 
CVE-2008-4993|allowedAction({local,user},overwrite,{file,arbitrary}) 
CVE-2008-5000|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-5002|allowedAction({attacker,remote},create,{file,arbitrary}) 
CVE-2008-5003|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-5004|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-5005|
CVE-2008-5010|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2008-5012|allowedAction({attacker,remote},bypass,{origin,policy,same}) 
CVE-2008-5013|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-5014|allowedAction({attacker,remote},cause,{denial,service}) allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-5016|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2008-5017|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2008-5018|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2008-5019|allowedAction({attacker,remote},violate,{origin,policy,same}) 
CVE-2008-5021|allowedAction({attacker,remote},cause,{denial,service}) allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-5022|allowedAction({attacker,remote},bypass,{policy,same-origin}) allowedAction({attacker,remote},execute,{arbitrary,script}) 
CVE-2008-5023|allowedAction({attacker,remote},bypass,{protection,mechanism}) allowedAction({attacker,remote},execute,{arbitrary,script}) 
CVE-2008-5024|allowedAction({attacker,remote},conduct,{xml,injection,attack}) 
CVE-2008-5025|allowedAction({attacker},cause,{denial,service}) 
CVE-2008-5029|allowedAction({local,user},cause,{denial,service}) 
CVE-2008-5031|allowedAction({attacker,context-dependent},have,{impact,unknown}) 
CVE-2008-5032|allowedAction({attacker,user-assisted},execute,{code,arbitrary}) 
CVE-2008-5036|allowedAction({attacker,user-assisted},execute,{code,arbitrary}) 
CVE-2008-5040|allowedAction({attacker,remote},bypass,{access,authentication,administrative,gain}) 
CVE-2008-5042|allowedAction({attacker,remote},bypass,{authentication}) allowedAction({attacker,remote},perform,{task,administrative}) 
CVE-2008-5045|allowedAction({ftp,remote,server},cause,{denial,service}) 
CVE-2008-5046|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-5047|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-5049|allowedAction({local,user},gain,{privilege}) allowedAction({local,user},gain,{0x002224c0}) allowedAction({local,user},gain,{0x002224cc,ioctl}) 
CVE-2008-5051|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-5052|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2008-5053|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2008-5059|allowedAction({attacker,remote},inject,{web,script,arbitrary}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2008-5060|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2008-5061|allowedAction({attacker,remote},inject,{web,arbitrary,script}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2008-5062|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2008-5063|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2008-5065|allowedAction({attacker,remote},bypass,{access,authentication,administrative,gain}) 
CVE-2008-5066|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2008-5070|
CVE-2008-5071|
CVE-2008-5072|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2008-5074|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-5075|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-5077|allowedAction({attacker,remote},bypass,{validation,chain,certificate}) 
CVE-2008-5078|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-5079|allowedAction({local,user},cause,{denial,service}) 
CVE-2008-5081|allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2008-5086|allowedAction({local,user},bypass,{access,restriction,intended}) allowedAction({local,user},perform,{action,administrative}) 
CVE-2008-5088|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-5090|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2008-5097|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-5121|allowedAction({local,user},gain,{privilege}) 
CVE-2008-5123|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-5125|allowedAction({attacker,remote},bypass,{authentication}) 
CVE-2008-5127|allowedAction({attacker,remote},obtain,{sensitive,information}) 
CVE-2008-5131|
CVE-2008-5132|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-5160|
CVE-2008-5166|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-5167|allowedAction({attacker,remote},execute,{code,PHP,arbitrary}) 
CVE-2008-5168|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-5169|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-5170|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-5171|allowedAction({attacker,remote},include,{lang,arbitrary}) 
CVE-2008-5174|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-5180|
CVE-2008-5182|allowedAction({local,user},gain,{privilege}) 
CVE-2008-5183|allowedAction({local,user},cause,{denial,service}) allowedAction({attacker,remote},cause,{denial,service}) 
CVE-2008-5188|allowedAction({local,user},obtain,{information,sensitive}) 
CVE-2008-5190|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-5191|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-5192|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-5193|allowedAction({attacker,remote},inject,{web,script,arbitrary}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2008-5194|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-5195|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-5196|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-5197|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-5200|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-5201|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-5202|allowedAction({attacker,remote},inject,{web,script,arbitrary}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2008-5203|allowedAction({attacker,remote},inject,{web,script,arbitrary}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2008-5204|
CVE-2008-5208|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-5209|allowedAction({attacker,remote},read,{file,arbitrary}) 
CVE-2008-5210|
CVE-2008-5212|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-5213|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-5214|allowedAction({attacker,remote},inject,{web,arbitrary,script}) allowedAction({attacker,remote},inject,{HTML}) 
CVE-2008-5215|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-5216|allowedAction({attacker,remote},execute,{arbitrary,command,sql}) 
CVE-2008-5217|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-5218|allowedAction({attacker,remote},obtain,{password,cleartext}) 
CVE-2008-5219|allowedAction({attacker,remote},change,{admin,account,password}) 
CVE-2008-5220|allowedAction({attacker,remote},execute,{code,arbitrary}) 
CVE-2008-5221|allowedAction({attacker,remote},change,{admin,account,password}) 
CVE-2008-5223|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-5226|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-5265|allowedAction({attacker,remote},include,{local,file,arbitrary}) 
CVE-2008-5267|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-5268|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
CVE-2008-5269|allowedAction({attacker,remote},execute,{sql,command,arbitrary}) 
